编号,任务,负责人,开始,结束,产出,前置/里程碑
T01,编码准备与设计基线确认,徐阳,2026-06-01,2026-06-02,设计规格说明书、任务拆分表,里程碑M1
M1,里程碑：设计基线确认完成,全体,2026-06-02,2026-06-02,设计基线冻结，进入编码阶段,0工期里程碑；前置T01
T02,主界面与目录树编码,毕振岚,2026-06-03,2026-06-06,MainView/MainController,M1
T03,缩略图扫描与离线浏览编码,陈厚华,2026-06-03,2026-06-07,ImageService/FileUtil/ImageUtil,M1
T04,数据库DAO与schema回归,徐阳,2026-06-05,2026-06-09,DAO、schema.sql、触发器,M1
T05,复制、删除、批量重命名事务编码,陈智杰,2026-06-08,2026-06-12,右键菜单、RenameDialog、事务回滚,T02、T04
T06,图片查看器与幻灯片编码,殷浚峰,2026-06-08,2026-06-13,ImageViewer/Slideshow/MusicService,T02
T07,AI标签、搜索与设置页编码,徐阳,2026-06-12,2026-06-17,AIConfig、ScanTask、SearchService,T04
T08,数据库初始化向导与降级联调,毕振岚,2026-06-16,2026-06-19,DatabaseSetupDialog、离线提示,T04、T07
T09,集成联调与缺陷修复,全体,2026-06-20,2026-06-23,可运行JAR、缺陷清单,T05、T06、T08
M2,里程碑：编码联调完成,全体,2026-06-23,2026-06-23,可运行JAR冻结，进入测试阶段,0工期里程碑；前置T09
T10,单元与服务层测试,陈厚华,2026-06-24,2026-06-26,DAO/Service测试记录,M2
T11,UI截图冒烟测试,陈智杰,2026-06-24,2026-06-27,UiSnapshotSmoke截图、拥挤检查,M2
T12,数据库脚本与数据一致性测试,徐阳,2026-06-27,2026-06-29,schema/data回归、事务测试,T10、T11
T13,打包、验收演示与答辩准备,殷浚峰,2026-06-30,2026-07-03,JAR、说明书、演示脚本,T12
M3,里程碑：测试验收准备完成,全体,2026-07-03,2026-07-03,最终交付包、验收脚本和答辩材料就绪,0工期里程碑；前置T13
